,Red I/F value,Green I/F value,Blue I/F value,R/G ratio,G/B ratio,R/B ratio,Solar zenith angle,Line of sight zenith angle,Azimuth difference,Ls
4,0.1341743771960315,0.0900288221119395,0.1118430743825869,0.1625499611072381,0.1371428104253897,0.098366494499272,0.132791180648385,0.1016124828852916,0.1570851585361115,0.1508156684791468
4,0.1285013835531276,0.0891610825031564,0.0973587515078993,0.154872182097582,0.1333065199274045,0.0992901935410403,0.1245445058774374,0.0997610840373678,0.1451882415133318,0.1571120568920234
4,0.1299117134542197,0.0846240683340537,0.0873875971080055,0.1502898475000184,0.1239563987845675,0.1034616803104355,0.1255368491143041,0.1022452764092071,0.1331722327729471,0.1660462911521142
4,0.1256311536712119,0.0926911682749666,0.0942227202487849,0.1642245314029501,0.134813894929281,0.103994380819934,0.129764682144118,0.1089206402691319,0.1404716407324133,0.168248827084444
4,0.1250188383179127,0.0893556983787523,0.0983965193804219,0.1667796745406857,0.1378280547030456,0.1048629373001642,0.1175666093614801,0.1070756809268996,0.1311389390127899,0.1668061441107113
4,0.1445484809666345,0.1150756092421602,0.1175492734231646,0.1625168283626072,0.1500726605874434,0.1394059916998858,0.1558205125843348,0.1270281246695421,0.1786294195321032,0.193104161299135
4,0.3228124026172386,0.1071304914082009,0.2864174865083969,0.1943310050537994,0.1662019464301669,0.110011795949455,0.1643382999843861,0.1396915597321598,0.1523863405881491,0.1019742779163099
4,0.1935250002369508,0.0918291729468046,0.1572343605088246,0.174167932236501,0.167197796823223,0.1084302436174768,0.136430745898938,0.1185431307672927,0.1407655817432729,0.1246034472188606
4,0.198234015087323,0.0926164062440198,0.1830710172629371,0.1852196388911233,0.1747518152851018,0.0861635387898157,0.13332488039879,0.1213675348541579,0.1445510127962916,0.1320430736196015
4,0.1499501691972868,0.0944133158613853,0.1458335411450344,0.1942473755994487,0.1464502150113815,0.0931908614867596,0.1309441343796266,0.1076263439972749,0.1367128796580742,0.1650825792099702
4,0.1250833788529222,0.0765431659244788,0.1114229035865905,0.1672091349309834,0.1349277565332732,0.0898787466036568,0.1197315396482371,0.0941788297296285,0.1367122280421218,0.1604795003507038
4,0.1373077970352302,0.0890412197495424,0.0737183102394588,0.158003718649616,0.1285912130433734,0.0880574753544191,0.1427819482220804,0.113604794261081,0.1579157996503588,0.1617172700156948
