,MAE_all,MAPE_all,R2_all,MAE_od<=2.0,MAPE_od<=2.0,R2_od<=2.0,MAE_od>2.0,MAPE_od>2.0,R2_od>2.0
4,0.09740644862095323,11.938521129524556,0.9685214883470332,0.08983143196881622,12.057079729320805,0.8064189619069294,0.4004071147064316,7.196177137674604,0.8944685777898805
5,0.08035257442982963,9.961991571716085,0.9805691452913433,0.07664464562463183,10.107752347417206,0.8598276013043218,0.22866972663774093,4.1315605436713785,0.961907604337817
6,0.07665275216700493,9.324593957768798,0.9796103799120449,0.0694131505790019,9.396011743254315,0.8856684785532672,0.36623681568712513,6.467882538348073,0.9171814290951259
7,0.07722597011509041,8.746243538278117,0.9785704387050606,0.07171116745689313,8.836242285171709,0.8645841442312643,0.297818076442982,5.146293662534455,0.9329083720788637
8,0.06602553608538048,7.020723913287702,0.975682526798243,0.055582836505018544,6.994247792597153,0.9173161091887333,0.4837335192998577,8.079768740909646,0.8310236828359089
9,0.06793914261247365,6.806703513866005,0.9676693798397215,0.05365802419132832,6.690316995804299,0.9099884361629413,0.6391838794582866,11.46216423633423,0.7492888185149724
10,0.06791906842892602,7.0059199128839476,0.9766962635228319,0.05861890246653522,6.982946804555178,0.8841909967442221,0.43992570692455785,7.924844246034696,0.8859041083217005
11,0.05339508642832801,6.146132255128874,0.9876573108689635,0.049597334236257194,6.201440116838068,0.9120769619721657,0.2053051741111603,3.93381778676116,0.9743435873967148
12,0.048610635446818,6.1993301263930825,0.9896239590738971,0.04733947604456513,6.3071517407043105,0.9154090640913053,0.0994570115369331,1.8864655539439532,0.9923975215162355
13,0.052486631231618196,6.62536978328292,0.9879162398205475,0.048481018921481066,6.691359465924115,0.9191686367361749,0.21271112363710332,3.985782477635165,0.9680184785300916
14,0.04578977261673892,5.587332336440289,0.9908611754340475,0.04311065242474876,5.657356011578232,0.9338185617288947,0.15295458029634534,2.7863853309225934,0.9824174551891736
15,0.05749977430433299,7.5449526711149915,0.9890486337865748,0.0540684842100314,7.623277770364015,0.9261489350536648,0.19475137807639656,4.411948701154047,0.9717932366322977
